date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01,2.1,-2.2,4.1,,,,,,,
2020-01-02,4.6,2.7,5.3,,,,,,,
2020-01-03,4.2,3,5.1,,,,,,,
2020-01-04,1.8,0.2,4.8,,,,,,,
2020-01-05,-1.3,-3.7,2.3,,,,,,,
2020-01-06,1.3,-3.7,3,,,,,,,
2020-01-07,3.2,1.8,4.8,,,,,,,
2020-01-08,3.7,2.2,6.3,,,,,,,
2020-01-09,3.6,2.2,6.3,,,,,,,
2020-01-10,2.1,0.2,4.6,,,,,,,
2020-01-11,-1.6,-4.2,2.5,,,,,,,
2020-01-12,4.6,-2.8,5.5,,,,,,,
2020-01-13,2.4,0.6,5.5,,,,,,,
2020-01-14,2.7,1.7,4,,,,,,,
2020-01-15,6.2,2,7.9,,,,,,,
2020-01-16,5.4,3.9,7.9,,,,,,,
2020-01-17,3.4,0.7,5.7,,,,,,,
2020-01-18,1.1,-0.4,4.3,,,,,,,
2020-01-19,3.8,0.6,5.1,,,,,,,
2020-01-20,2.9,0.9,4.8,,,,,,,
2020-01-21,4.3,2,6.3,,,,,,,
2020-01-22,1.1,-1.2,5.8,,,,,,,
2020-01-23,0.3,-3.4,3.1,,,,,,,
2020-01-24,4.5,1.4,5.4,,,,,,,
2020-01-25,1.4,-1.2,5.4,,,,,,,
2020-01-26,3.3,-1.2,4.7,,,,,,,
2020-01-27,3.9,3.4,4.7,,,,,,,
2020-01-28,1.7,-0.4,4.5,,,,,,,
2020-01-29,0.9,-0.4,2.7,,,,,,,
2020-01-30,0.9,0.2,2.1,,,,,,,
2020-01-31,0.9,0.2,1.6,,,,,,,
2020-02-01,2.4,0.3,6.4,,,,,,,
2020-02-02,4.3,0.3,6.4,,,,,,,
2020-02-03,0.2,-2.5,5,,,,,,,
2020-02-04,-3.9,-7.4,2.4,,,,,,,
2020-02-05,-2.2,-8.2,2.4,,,,,,,
2020-02-06,-2.5,-5.1,2.4,,,,,,,
