date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,-9.8,-14.5,-6.8,0,,69,12.3,38.9,1018.7,
2024-01-02,-16.6,-18.6,-14.8,0,,75,19.3,38.5,1019.7,
2024-01-03,-19.4,-21.6,-17.8,0,,72,20.8,40.7,1014.5,
2024-01-04,-20.5,-22.8,-17.5,2.9,,69,21.1,40.3,1007.7,
2024-01-05,-17.5,-19.1,-16.3,6.1,,72,13.9,34.9,1006.3,
2024-01-06,-19.8,-21.8,-16.7,0,,28,7.9,20.2,1017.4,
2024-01-07,-20.7,-22.4,-18.8,0,,33,6.8,18.4,1031.7,
2024-01-08,-12.6,-23.3,-4.2,0,,254,13.2,38.5,1031.4,
2024-01-09,-2.1,-5.3,0,0,,272,18.9,43.9,1023.4,
2024-01-10,0.4,-0.3,1.3,0,,285,18.1,49,1017.9,
2024-01-11,-2.3,-7.6,1.2,0,,340,22.5,58,1014.3,
2024-01-12,-8,-10.8,-6,7.1,,167,15.3,43.9,1013.8,
2024-01-13,-12.6,-16,-10.8,0,,147,11.8,28.8,1010.5,
2024-01-14,-10.1,-10.6,-9.3,1.8,,135,9.3,27.7,990.8,
2024-01-15,-8.9,-10.4,-7.7,2.3,,71,9.3,31,982.4,
2024-01-16,-10.1,-15.7,-7.6,5.3,,332,17.3,37.1,990.7,
2024-01-17,-12.6,-16.5,-8.7,0,,193,13.6,34.2,1003.5,
2024-01-18,-6.6,-10.2,-1.8,3.4,,179,22,57.6,988.7,
2024-01-19,-4.1,-7.5,-2.8,0.2,,251,18.6,56.5,995.4,
2024-01-20,-8.5,-11.7,-6.2,0,,83,7,19.4,1014,
2024-01-21,-6.8,-12.7,-3.3,0,,177,14.8,43.2,1024.6,
2024-01-22,-1.7,-3.6,0.5,8.1,,189,29.4,64.4,1006.9,
2024-01-23,2.5,0.9,3.5,3.7,,216,27.9,55.8,1000,
2024-01-24,1.2,0.5,2.1,5.9,,188,16.7,43.2,996.4,
2024-01-25,0.4,-0.8,0.9,5,,34,16.8,41,999.3,
2024-01-26,-2.7,-3.3,-1.1,0,,56,10,32.8,1016.8,
2024-01-27,-2.3,-3.2,-1.2,0,,187,9.1,25.9,1019.1,
2024-01-28,0.1,-2.5,1.8,0,,223,14.1,34.6,1027.9,
2024-01-29,1.7,1,3.4,0,,227,22.6,46.8,1026.6,
2024-01-30,0.6,0.2,1.4,2,,185,8.1,25.6,1027.2,
2024-01-31,1.2,0.1,2.9,1.9,,218,14.7,48.6,1016.3,
2024-02-01,1.3,-0.1,2.6,3.8,,243,28.4,61.2,999.2,
2024-02-02,-0.6,-1.5,0.7,0,,261,19.1,49,1004.3,
2024-02-03,1.6,0,3.1,8.1,,241,17.7,38.2,989.7,
2024-02-04,0.5,-1.7,1.5,0.3,,261,22.2,52.9,987.5,
2024-02-05,-1.8,-3.3,-0.4,0,,274,14.3,36,988.4,
2024-02-06,-3.3,-4.6,-2.4,0,,306,10.4,36.4,996.1,
2024-02-07,-5.9,-8,-4.9,0.6,,31,13.1,33.8,991,
2024-02-08,-8.7,-11.6,-6.2,0,,84,5.8,16.2,1001.5,
2024-02-09,-10.2,-13.4,-8,0,,73,11.1,26.3,1008.6,
2024-02-10,-10.5,-12.9,-7.2,0,,76,13.4,35.3,1011.3,
2024-02-11,-8.5,-10.5,-6.2,0,,79,15.6,30.2,1009.7,
2024-02-12,-5.8,-6.7,-4.8,1.4,,73,20.5,42.8,1008.4,
2024-02-13,-4.3,-5.2,-2.9,6.4,,94,23.1,47.5,1012.4,
2024-02-14,-0.4,-2.7,0.7,1.6,,176,9.2,29.5,1019.3,
2024-02-15,0.7,-0.4,2.4,2.5,,139,8.6,25.2,1024.2,
2024-02-16,0.8,-0.5,4.3,6,,148,17.4,40,1019.7,
2024-02-17,2.2,-0.5,4.9,2.9,,249,24.9,51.8,1010.3,
2024-02-18,-1.6,-3.8,0.9,0,,283,14.9,43.6,1026.5,
2024-02-19,-2.2,-5.3,0.8,0,,165,9.7,27.7,1023.3,
2024-02-20,-1.1,-1.9,-0.1,0,,147,7.6,19.8,1015.4,
2024-02-21,-0.4,-2.7,1,0.3,,171,10.4,25.9,1012.4,
2024-02-22,1.4,0.7,2.2,0,,161,12.6,35.6,1005.3,
2024-02-23,3.5,2.4,4.7,3.9,,154,20.7,45.4,1000.3,
2024-02-24,3.9,2.3,6.5,5.5,,153,16.5,72,1005.2,
2024-02-25,2.7,0.2,6,0.3,,172,14.6,68,1013.5,
2024-02-26,3,0.8,4.5,0.2,,138,8.9,20.9,1011.9,
2024-02-27,2.4,1.3,3.7,0,,51,7.4,19.1,1018,
2024-02-28,1.8,0.9,3.1,0,,127,5.4,22,1018.2,
2024-02-29,1.1,-0.3,2.4,0,,219,10,26.3,1021.9,
2024-03-01,1,-0.3,3.5,0,,137,12.3,29.9,1023.5,
2024-03-02,1.5,-0.8,5,0,,119,12.8,30.6,1023.1,
2024-03-03,1,-1.4,5.4,0,,99,10.8,25.2,1023.1,
2024-03-04,0.3,-3.3,5.2,0,,70,9.4,29.2,1023.7,
2024-03-05,-0.2,-1.9,2.9,0,,66,14.2,34.2,1028.9,
2024-03-06,-1,-4.9,3.8,0,,32,6.4,22,1032,
2024-03-07,-1.4,-4.4,1.1,0,,342,6.4,18.7,1028,
2024-03-08,-1.2,-2.9,1.2,0,,28,7.2,17.6,1023.7,
2024-03-09,-1.2,-2.6,0.5,0,,66,5.2,19.1,1023.3,
2024-03-10,-1.1,-4.4,2.7,0,,75,5.6,18,1025.6,
2024-03-11,-0.7,-6.5,4.9,0,,106,6.2,20.5,1026.3,
2024-03-12,0.8,-3.2,5.7,0,,116,9.8,27.4,1022,
2024-03-13,0.5,-2.5,2.4,0,,171,8.8,25.6,1018.2,
2024-03-14,4,2.1,6.2,0,,209,19.1,46.8,1013.1,
2024-03-15,6.5,5.2,8,3.7,,213,20.7,45.7,1009,
2024-03-16,5.6,3.7,7.5,0.8,,200,14.6,33.1,1007.8,
2024-03-17,3.4,-1.4,7.1,2.8,,284,15.2,42.1,1010.4,
2024-03-18,-1.4,-2.7,1,0,,48,14,37.8,1021.5,
2024-03-19,1.1,-1.3,3.9,0,,71,4.1,14.8,1024.2,
2024-03-20,1.5,0.5,3,0.1,,215,6.7,23.4,1022.9,
2024-03-21,3.5,0.8,6.4,2.1,,199,10.7,29.2,1018.7,
2024-03-22,3,2.5,4.2,3,,218,14.9,39.2,1007,
2024-03-23,3.8,1,6.2,3.1,,240,18.9,42.5,996.4,
2024-03-24,1.1,-1,4.1,0,,242,8.5,23.8,997.4,
2024-03-25,2.2,0.4,5.3,0,,238,6.7,20.2,1002.4,
2024-03-26,3.3,0.6,7.3,1.1,,172,6.2,21.2,1008.4,
2024-03-27,6.4,0.9,12.2,0,,123,10.2,33.1,1007.6,
2024-03-28,8.8,3.2,13.5,0,,129,13.7,37.4,1000.5,
2024-03-29,6.1,4.8,8.1,2.4,,202,15.5,43.2,996.3,
2024-03-30,6.2,2.2,11.4,1.5,,227,8.8,32.8,1005.8,
2024-03-31,6.5,1,12,0,,86,9.9,36,1007.3,
2024-04-01,12.1,6.7,19.1,0,,228,9.2,31,998,
2024-04-02,7.3,5.4,8.6,0.5,,54,16,43.9,995.9,
2024-04-03,1.1,-0.8,6.2,1.9,,3,19.9,49.3,992,
2024-04-04,-0.2,-2.6,3.4,0,,28,10.7,29.2,1013,
2024-04-05,-0.1,-2.7,4.2,6.9,,126,18.2,50.8,1011.8,
2024-04-06,4.7,2.7,8.3,0.7,,45,11.2,36.7,1009.6,
2024-04-07,7.5,2.7,12.1,0,,204,12.9,42.8,1014.9,
2024-04-08,10.6,6.3,14.9,0,,237,12.7,31.7,1013.7,
2024-04-09,12.6,8.6,17.6,0,,91,7.1,22,1012.3,
2024-04-10,13.2,8.5,23.5,0,,182,15.1,52.9,1013.2,
2024-04-11,7.8,4.1,11.7,1.5,,242,25.2,61.6,1019.4,
2024-04-12,9.2,6.1,14.8,0.4,,250,21.5,58.7,1016.3,
2024-04-13,8.5,6.2,11.7,1.1,,233,11.3,33.5,1013.1,
2024-04-14,7.5,4.7,9.7,8.7,,226,20.4,55.8,1000.1,
2024-04-15,5.9,2,11.2,7.6,,276,21,50.8,994.9,
2024-04-16,5,3,8.3,0,,254,8.8,33.8,998.4,
2024-04-17,4.8,1.9,8.8,0,,16,7.3,24.1,1001.2,
2024-04-18,3.5,0,8.1,0,,56,10.6,34.2,1010.6,
2024-04-19,-0.1,-1.6,2.9,0,,14,13.6,35.3,1005.8,
